episode_number,title,pubdate_short,primary_start_year,primary_end_year,year_label,primary_region,era_bucket,themes,key_figures,is_series,series_key,part_number,is_strongly_1800_1934,confidence,reasoning,duration,audio_url,spotify_search_url,guid
33,33. The Beautiful Game,2021-03-18,0,0,Undated,Britain,Undated,Sport; Culture & Arts,,false,,,false,high,"The description discusses “the history of the game” and how football became “Britain’s most successful export,” but gives no specific historical dates or period. The focus is therefore best treated as a broad, undated history of football with Britain as the dominant regional context.",3061,https://pdst.fm/e/traffic.megaphone.fm/GLT5860295083.mp3?updated=1777395012,https://open.spotify.com/search/The%20Rest%20Is%20History%2033.%20The%20Beautiful%20Game,5b039623-75a4-4a58-8dd3-8e6a248b242b
34,34. St Cuthbert’s Day,2021-03-20,634,687,634 – 687,Britain,Medieval,Religion & Church; Biography,St Cuthbert,false,,,false,high,"The description identifies Cuthbert as a Northumbrian saint from the 7th century and focuses on his life, death, and preserved body. His central historical period is therefore approximately 634–687 in medieval Britain.",1891,https://pdst.fm/e/traffic.megaphone.fm/GLT9977520388.mp3?updated=1777394852,https://open.spotify.com/search/The%20Rest%20Is%20History%2034.%20St%20Cuthbert%E2%80%99s%20Day,10fe3003-4f6a-425e-94a2-bb957b28ab47
35,35. The Prime Ministers’ World Cup,2021-03-22,1868,1990,1868 – 1990,Britain,Postwar,Politics & Power; Biography,Winston Churchill; William Gladstone; Margaret Thatcher; Clement Attlee,false,,,false,medium,"The episode compares major British Prime Ministers, specifically Gladstone, Churchill, Attlee and Thatcher, spanning Gladstone’s late-19th-century premierships through Thatcher’s tenure ending in 1990. Its focus is political leadership rather than a single narrowly defined period.",2546,https://pdst.fm/e/traffic.megaphone.fm/GLT6124252189.mp3?updated=1777394950,https://open.spotify.com/search/The%20Rest%20Is%20History%2035.%20The%20Prime%20Ministers%E2%80%99%20World%20Cup,d138fe38-704b-4806-9577-d898d5d2efaf
36,36. Our Greatest Prime Minister,2021-03-23,0,0,Undated,Britain,Undated,Politics & Power; Meta/Podcast,,false,,,false,high,The episode compares British Prime Ministers “through the centuries” and focuses on a public vote rather than a specific dated historical period. The description discusses the final stages of the “Prime Ministers’ World Cup” and public voting patterns.,2807,https://pdst.fm/e/traffic.megaphone.fm/GLT9826873277.mp3?updated=1777394980,https://open.spotify.com/search/The%20Rest%20Is%20History%2036.%20Our%20Greatest%20Prime%20Minister,f95a40c8-8186-4861-8864-9796e5c1652a
37,"37. Spies, with Ben MacIntyre",2021-03-25,0,0,Undated,Global,Undated,Espionage; Politics & Power; Science & Technology,,false,,,false,high,"The description presents a broad discussion of “the history of spying,” asking whether spying matters and whether human operatives have been replaced by computers. It provides no specific period, event, or region, so the episode is undated and global in scope.",2681,https://pdst.fm/e/traffic.megaphone.fm/GLT4382644548.mp3?updated=1777394940,https://open.spotify.com/search/The%20Rest%20Is%20History%2037.%20Spies%2C%20with%20Ben%20MacIntyre,a88c290d-13ec-4aee-82b8-2ea79e69ac72
38,38. Communism,2021-03-29,1848,1991,1848 – 1991,Europe,Postwar,Ideology; Politics & Power; Revolution,,false,,,false,medium,"The description explicitly frames communism as a major ideology of the “20th century,” while also discussing its origins as a theory and its repressive attempts to govern. The broad focus therefore runs from the 19th-century development of communist theory through the decline of communism at the end of the 20th century.",3093,https://pdst.fm/e/traffic.megaphone.fm/GLT7587678050.mp3?updated=1777394990,https://open.spotify.com/search/The%20Rest%20Is%20History%2038.%20Communism,ddc645b9-4217-4ec0-9ebb-d231ab04ef62
39,39. Elizabeth I,2021-04-01,1558,1603,1558 – 1603,Britain,Early Modern,Monarchy & Royalty; Politics & Power; Biography,Elizabeth I,false,,,false,high,"The description focuses on Elizabeth I, described as one of Britain’s monarchs who reigned more than 400 years ago. Her primary historical focus is her reign from 1558 to 1603.",2700,https://pdst.fm/e/traffic.megaphone.fm/GLT7302124935.mp3?updated=1777394989,https://open.spotify.com/search/The%20Rest%20Is%20History%2039.%20Elizabeth%20I,8d2e64a4-b34e-43f0-8dbc-9e8ea34dd249
40,40. History as Entertainment,2021-04-05,0,0,Undated,Global,Undated,Culture & Arts; Economics & Trade; Meta/Podcast,,false,,,false,high,"The episode examines the broad history of games, from re-enactment to Monopoly, and how history is portrayed in games. It is thematic rather than focused on a specific historical period.",2601,https://pdst.fm/e/traffic.megaphone.fm/GLT9519276470.mp3?updated=1777395013,https://open.spotify.com/search/The%20Rest%20Is%20History%2040.%20History%20as%20Entertainment,d5b55802-f8be-456e-bb4f-49a65a166fc3
41,41. Persia,2021-04-08,0,0,Undated,Middle East,Undated,Empire & Colonialism; Culture & Arts; Politics & Power,,false,,,false,low,"The description presents Persia as a major civilisation whose influence reaches 'the modern world' but gives no specific dates or period focus. Because the episode appears to survey Persia broadly without a clear dominant era, it is tagged as undated.",2775,https://pdst.fm/e/traffic.megaphone.fm/GLT6414068538.mp3?updated=1777394967,https://open.spotify.com/search/The%20Rest%20Is%20History%2041.%20Persia,940b4a38-d7e2-4412-b8f3-cb3f5724df7c
42,42. The Wild West,2021-04-12,1800,1900,1800 – 1900,United States,Long 19th Century,Culture & Arts; Exploration & Discovery,,false,,,true,medium,"The description focuses on the historical American western frontier and the 19th-century-associated myth of the Wild West, while contrasting fact with fiction and film. Butch Cassidy and the Sundance Kid are used as illustrative references rather than the episode's primary subjects.",3050,https://pdst.fm/e/traffic.megaphone.fm/GLT7464073840.mp3?updated=1777394984,https://open.spotify.com/search/The%20Rest%20Is%20History%2042.%20The%20Wild%20West,166679b4-ec45-499c-b5f5-fa39c5a45a60
43,43. 1940,2021-04-15,1940,1940,1940,Europe,World Wars & Interwar,War & Military; Politics & Power; Diplomacy,Neville Chamberlain; Winston Churchill,false,,,false,high,"The episode is explicitly titled “1940” and describes the British Expeditionary Force at Dunkirk, Chamberlain’s replacement by Churchill, and France’s collapse during the Second World War.",3495,https://pdst.fm/e/traffic.megaphone.fm/GLT2702093158.mp3?updated=1777394987,https://open.spotify.com/search/The%20Rest%20Is%20History%2043.%201940,31e45225-8cab-4479-bf12-1609dbdc3e64
44,44. 1066,2021-04-19,1066,1066,1066,Britain,Medieval,War & Military; Monarchy & Royalty; Politics & Power,Harold Godwinson,false,,,false,high,"The episode is titled “1066” and explicitly discusses the Battle of Hastings, the end of the Anglo-Saxons, and whether King Harold was killed by an arrow in the eye, anchoring the focus to Britain in 1066.",3308,https://pdst.fm/e/traffic.megaphone.fm/GLT5177665423.mp3?updated=1777395024,https://open.spotify.com/search/The%20Rest%20Is%20History%2044.%201066,51230fba-9dd0-4ad3-a00c-53ae81f40fbb
45,45. Top Ten Eunuchs,2021-04-22,0,0,Undated,Global,Undated,Religion & Church; Culture & Arts; Sex & Scandal,,false,,,false,high,"The episode is a broad ranking of “the best Eunuchs in history,” explicitly ranging from “religious fanatics to operatic singers,” without identifying a specific period or region.",3256,https://pdst.fm/e/traffic.megaphone.fm/GLT5221212176.mp3?updated=1777395081,https://open.spotify.com/search/The%20Rest%20Is%20History%2045.%20Top%20Ten%20Eunuchs,445fa225-ad0a-48b8-b081-7ee12288c8e9
46,46. Culture Wars,2021-04-26,0,0,Undated,Global,Undated,Politics & Power; Culture & Arts,,false,,,false,high,"The episode is a broad thematic discussion of the historical significance of “culture wars,” ranging from “Ancient Rome to the US Civil Rights movement,” rather than a focused account of one dated period or event.",3533,https://pdst.fm/e/traffic.megaphone.fm/GLT4237848862.mp3?updated=1777394968,https://open.spotify.com/search/The%20Rest%20Is%20History%2046.%20Culture%20Wars,3495390b-a720-45f3-9968-e18e3f15c9a9
47,47. The Seven Years' War,2021-04-29,1756,1763,1756 – 1763,Europe,Early Modern,War & Military; Empire & Colonialism; Diplomacy,,false,,,false,high,"The description explicitly identifies the subject as the “Seven Years’ War” and calls it “the biggest event of the 18th century,” anchoring the episode to the 1756–1763 conflict. Its dominant setting is Europe, although the war had wider imperial dimensions.",3060,https://pdst.fm/e/traffic.megaphone.fm/GLT8800494407.mp3?updated=1777394979,https://open.spotify.com/search/The%20Rest%20Is%20History%2047.%20The%20Seven%20Years%27%20War,9b06c6f4-ffc3-4e3e-8bc5-fa5b373fa116
48,48. The French Revolution,2021-05-03,1789,1799,1789 – 1799,France,Early Modern,Revolution; Politics & Power; Economics & Trade,,false,,,false,high,"The title explicitly identifies the French Revolution, while the description anchors it in France's economic struggles, unemployment, and an uprising. The episode therefore focuses on the revolution conventionally dated 1789–1799.",3638,https://pdst.fm/e/traffic.megaphone.fm/GLT2092335857.mp3?updated=1777395011,https://open.spotify.com/search/The%20Rest%20Is%20History%2048.%20The%20French%20Revolution,8302fd3f-ac6c-49b7-84d2-9c9b301fe0f3
49,49. Food Glorious Food,2021-05-06,0,0,Undated,Britain,Undated,Culture & Arts,,false,,,false,high,"The description presents a broad history of British food, discussing the origins of curry, British beef consumption, and cooking pigs and chickens, but provides no specific historical dates or period.",2764,https://pdst.fm/e/traffic.megaphone.fm/GLT7001895639.mp3?updated=1777394947,https://open.spotify.com/search/The%20Rest%20Is%20History%2049.%20Food%20Glorious%20Food,76760589-bffb-4853-a829-e8df6e51eecb
50,50. Teenagers,2021-05-10,0,0,Undated,Undated,Undated,Culture & Arts; Sex & Scandal,,false,,,false,high,"The description calls teenagers a “modern phenomenon” but gives no specific dates, events, or historical period. It is a thematic exploration of teenage behavior and generational attitudes rather than a clearly dated episode.",2878,https://pdst.fm/e/traffic.megaphone.fm/GLT9697541566.mp3?updated=1777394935,https://open.spotify.com/search/The%20Rest%20Is%20History%2050.%20Teenagers,4c786335-8efb-4f91-b2a4-71ab65433fc6
51,51. Aztecs,2021-05-13,1300,1521,1300 – 1521,Latin America,Medieval,Empire & Colonialism; War & Military; Religion & Church,,false,,,false,medium,"The title identifies the Aztecs, while the description places the story in Mexico 'centuries ago' and refers to Nahuatl-language sources. The date range is therefore inferred as the late pre-Columbian Aztec period, ending around the Spanish conquest in 1521.",3216,https://pdst.fm/e/traffic.megaphone.fm/GLT9590586130.mp3?updated=1777395015,https://open.spotify.com/search/The%20Rest%20Is%20History%2051.%20Aztecs,fae4c18e-dd54-4143-8831-c43197795688
